Product_name, Category, Subcategory, SearchTerm, Rating, Reviews, Product_Url
Insignia(tm) - 24" Class - LED - 720p - Smart - HDTV - Fire TV Edition,Phones,Amazon,Amazon Kindle Fire,4.6,1302,https://www.bestbuy.com/site/insignia-24-class-led-720p-smart-hdtv-fire-tv-edition/6247347.p?skuId=6247347
ViewSonic - PA502X XGA DLP Projector - Black/white,Phones,ZTE,ZTE Grand X View 2,5,3,https://www.bestbuy.com/site/viewsonic-pa502x-xga-dlp-projector-black-white/6131430.p?skuId=6131430
ViewSonic - PG703X XGA DLP Projector - White,Phones,ZTE,ZTE Grand X View 2,0,Not yet reviewed,https://www.bestbuy.com/site/viewsonic-pg703x-xga-dlp-projector-white/6131429.p?skuId=6131429
ViewSonic - PA503X XGA DLP Projector - White,Phones,ZTE,ZTE Grand X View 2,0,Not yet reviewed,https://www.bestbuy.com/site/viewsonic-pa503x-xga-dlp-projector-white/5947147.p?skuId=5947147
HP - 25x 24.5" LED FHD Monitor - Gray/Green,Phones,ZTE,ZTE Grand X View 2,4.7,588,https://www.bestbuy.com/site/hp-25x-24-5-led-fhd-monitor-gray-green/6280605.p?skuId=6280605
ViewSonic - M2 1080p DLP Projector - Black,Phones,ZTE,ZTE Grand X View 2,0,Not yet reviewed,https://www.bestbuy.com/site/viewsonic-m2-1080p-dlp-projector-black/6392604.p?skuId=6392604
ViewSonic - 19" LED Monitor,Phones,ZTE,ZTE Grand X View 2,4.4,12,https://www.bestbuy.com/site/viewsonic-19-led-monitor/6335320.p?skuId=6335320
Optoma - X600 XGA DLP Projector - Silver,Phones,ZTE,ZTE Grand X View 2,4.3,3,https://www.bestbuy.com/site/optoma-x600-xga-dlp-projector-silver/6800559.p?skuId=6800559
Sony - 85" Class - LED - X850G Series - 2160p - Smart - 4K UHD TV with HDR,Phones,ZTE,ZTE Grand X View 2,4.7,293,https://www.bestbuy.com/site/sony-85-class-led-x850g-series-2160p-smart-4k-uhd-tv-with-hdr/6331606.p?skuId=6331606
Ring - Peephole with Chime - Satin Nickel,Phones,ZTE,ZTE Grand X View 2,4.6,45,https://www.bestbuy.com/site/ring-peephole-with-chime-satin-nickel/6374438.p?skuId=6374438
Optoma - HD243X 1080p DLP Projector - Black,Phones,ZTE,ZTE Grand X View 2,5,1,https://www.bestbuy.com/site/optoma-hd243x-1080p-dlp-projector-black/6379624.p?skuId=6379624
Acer - 27" IPS LED 4K UHD G-SYNC Monitor - Black,Phones,ZTE,ZTE Grand X View 2,3.6,5,https://www.bestbuy.com/site/acer-27-ips-led-4k-uhd-g-sync-monitor-black/6380903.p?skuId=6380903
ViewSonic - VX3211-2K-MHD 32" IPS LED QHD Monitor - Black,Phones,ZTE,ZTE Grand X View 2,5,2,https://www.bestbuy.com/site/viewsonic-vx3211-2k-mhd-32-ips-led-qhd-monitor-black/6091922.p?skuId=6091922
ViewSonic - 32" LED 4K UHD Monitor with HDR,Phones,ZTE,ZTE Grand X View 2,5,2,https://www.bestbuy.com/site/viewsonic-32-led-4k-uhd-monitor-with-hdr/6370815.p?skuId=6370815
Optoma - HD143X 1080p DLP Projector - Black,Phones,ZTE,ZTE Grand X View 2,4.5,41,https://www.bestbuy.com/site/optoma-hd143x-1080p-dlp-projector-black/6188341.p?skuId=6188341
Kaiser Baas - HD Action Camera - Black,Phones,ZTE,ZTE Grand X View 2,5,1,https://www.bestbuy.com/site/kaiser-baas-hd-action-camera-black/6393720.p?skuId=6393720
Texas Instruments - TI-Nspire CX II Handheld Graphing Calculator,Phones,ZTE,ZTE Grand X View 2,4.7,67,https://www.bestbuy.com/site/texas-instruments-ti-nspire-cx-ii-handheld-graphing-calculator/6345159.p?skuId=6345159
Kaiser Baas - HD Action Camera - Black,Phones,ZTE,ZTE Grand X View 2,4,1,https://www.bestbuy.com/site/kaiser-baas-hd-action-camera-black/6361094.p?skuId=6361094
Night Owl - C20X Series 8-Channel| 8-Camera Indoor/Outdoor Wired 1080p 1TB DVR Surveillance System - White/Black,Phones,ZTE,ZTE Grand X View 2,4.2,171,https://www.bestbuy.com/site/night-owl-c20x-series-8-channel-8-camera-indoor-outdoor-wired-1080p-1tb-dvr-surveillance-system-white-black/6332963.p?skuId=6332963
ViewSonic - 22" IPS LED FHD Monitor,Phones,ZTE,ZTE Grand X View 2,4,16,https://www.bestbuy.com/site/viewsonic-22-ips-led-fhd-monitor/5572922.p?skuId=5572922
Kaiser Baas - HD Action Camera - Black,Phones,ZTE,ZTE Grand X View 2,5,4,https://www.bestbuy.com/site/kaiser-baas-hd-action-camera-black/6303680.p?skuId=6303680
Midland - X-Talker 20-Mile| 22-Channel FRS/GMRS 2-Way Radios (3-Pack),Phones,ZTE,ZTE Grand X View 2,0,Not yet reviewed,https://www.bestbuy.com/site/midland-x-talker-20-mile-22-channel-frs-gmrs-2-way-radios-3-pack/6220663.p?skuId=6220663
Kaiser Baas - HD Action Camera - Black,Phones,ZTE,ZTE Grand X View 2,4.7,3,https://www.bestbuy.com/site/kaiser-baas-hd-action-camera-black/6303685.p?skuId=6303685
Kaiser Baas - HD Action Camera - Black,Phones,ZTE,ZTE Grand X View 2,4.3,3,https://www.bestbuy.com/site/kaiser-baas-hd-action-camera-black/6303682.p?skuId=6303682
HP - OMEN X by HP 27" LED QHD FreeSync Monitor with HDR - Black,Phones,ZTE,ZTE Grand X View 2,0,Not yet reviewed,https://www.bestbuy.com/site/hp-omen-x-by-hp-27-led-qhd-freesync-monitor-with-hdr-black/6384481.p?skuId=6384481
Insignia(tm) - Apple MFi Certified Lightning Wall Charger for Select Apple(r) Devices - Black,Phones,ZTE,ZTE Blade A2,4.6,1519,https://www.bestbuy.com/site/insignia-apple-mfi-certified-lightning-wall-charger-for-select-apple-devices-black/5689176.p?skuId=5689176
Jabra - Elite 25h Wireless On-Ear Headphones - Titanium Black,Phones,Archos,Archos 40 Titanium,4.4,33,https://www.bestbuy.com/site/jabra-elite-25h-wireless-on-ear-headphones-titanium-black/6350381.p?skuId=6350381
KICKER - PS 4" Coaxial Speakers (Pair) - Black/Silver,Phones,Archos,Archos 40 Titanium,4,1,https://www.bestbuy.com/site/kicker-ps-4-coaxial-speakers-pair-black-silver/4222515.p?skuId=4222515
KICKER - PS 6" x 9" Coaxial Speakers (Pair) - Black/Silver,Phones,Archos,Archos 40 Titanium,5,1,https://www.bestbuy.com/site/kicker-ps-6-x-9-coaxial-speakers-pair-black-silver/4222505.p?skuId=4222505
Samsung - POWERbot(tm) R7065 App-Controlled Self-Charging Robot Vacuum - Satin Titanium,Phones,Archos,Archos 40 Titanium,4.3,131,https://www.bestbuy.com/site/samsung-powerbot-r7065-app-controlled-self-charging-robot-vacuum-satin-titanium/6190501.p?skuId=6190501
Breville - the Juice Fountain Cold XL Juicer - Silver,Phones,Archos,Archos 40 Titanium,4.8,13,https://www.bestbuy.com/site/breville-the-juice-fountain-cold-xl-juicer-silver/6323690.p?skuId=6323690
Sony - XB950N1 Extra Bass Wireless Noise Cancelling Over-the-Ear Headphones - Titanium,Phones,Archos,Archos 40 Titanium,4.6,2683,https://www.bestbuy.com/site/sony-xb950n1-extra-bass-wireless-noise-cancelling-over-the-ear-headphones-titanium/6029025.p?skuId=6029025
KICKER - CS Series 6" x 8" 2-Way Car Speakers with Polypropylene Cones (Pair) - Black,Phones,Archos,Archos 40 Titanium,0,Not yet reviewed,https://www.bestbuy.com/site/kicker-cs-series-6-x-8-2-way-car-speakers-with-polypropylene-cones-pair-black/6359805.p?skuId=6359805
JBL - 12" 3-Way Bookshelf Loudspeakers (Each) - Satin Walnut Wood Veneer With Blue Grille,Phones,Archos,Archos 40 Titanium,0,Not yet reviewed,https://www.bestbuy.com/site/jbl-12-3-way-bookshelf-loudspeakers-each-satin-walnut-wood-veneer-with-blue-grille/6391970.p?skuId=6391970
MB Quart - X-Line 6.5" Coaxial Speaker with Polypropylene Cone - Black,Phones,Archos,Archos 40 Titanium,4,1,https://www.bestbuy.com/site/mb-quart-x-line-6-5-coaxial-speaker-with-polypropylene-cone-black/9116073.p?skuId=9116073
